RAxval,RA,RAProbes,TCxval,TC,TCProbes
1,0,,1,0,
2,0,,2,0,
3,0,,3,0,
4,0,,4,0,
5,0,,5,0,
6,0,,6,0,
7,0,,7,0,
8,0,,8,0,
9,0,,9,0,
10,0,,10,0,
11,0,,11,0,
12,0,,12,0,
13,0,,13,0,
14,0,0,14,1,1
15,0,,15,1,
16,0,,16,1,
17,0,,17,1,
18,0,0,18,2,2
19,0,,19,2,
20,1,,20,2,
21,2,,21,2,
22,3,,22,2,
23,4,,23,2,
24,4,,24,2,
25,5,5,25,3,3
26,5,,26,3,
27,5,,27,3,
28,6,,28,3,
29,7,,29,3,
30,7,,30,3,
31,8,,31,3,
32,9,9,32,3,3
33,9,,33,3,
34,10,,34,3,
35,11,,35,3,
36,12,,36,3,
37,13,,37,3,
38,14,,38,3,
39,15,15,39,4,4
40,16,,40,4,
41,17,,41,4,
42,18,,42,4,
43,19,19,43,4,4
44,20,,44,4,
45,21,21,45,4,4
46,22,,46,4,
47,23,23,47,5,5
48,24,24,48,6,6
49,25,,49,6,
50,26,,50,6,
51,26,26,51,7,7
52,27,,52,7,
53,28,28,53,8,8
54,29,,54,8,
55,30,,55,8,
56,31,,56,8,
57,32,32,57,8,8
58,32,32,58,9,9
59,33,,59,9,
60,34,,60,9,
61,35,,61,9,
62,36,,62,9,
63,37,37,63,9,9
64,38,,64,9,
65,39,,65,9,
66,40,,66,9,
67,41,,67,9,
68,42,,68,9,
69,43,43,69,9,9
70,43,,70,9,
71,43,,71,9,
72,44,,72,9,
73,45,,73,10,
74,45,,74,11,
75,45,,75,12,
76,46,46,76,12,12
77,46,,77,13,
78,46,,78,14,
79,47,,79,15,
80,48,,80,16,
81,48,48,81,16,16
82,48,,82,17,
83,48,,83,18,
84,49,,84,19,
85,49,,85,20,
86,49,,86,21,
87,49,,87,22,
88,49,,88,23,
89,49,,89,24,
90,49,,90,25,
91,49,,91,26,
92,49,,92,27,
93,50,50,93,27,27
94,50,,94,28,
95,50,,95,29,
96,50,,96,30,
97,50,,97,31,
98,50,,98,32,
99,50,,99,33,
100,51,51,100,33,33
101,51,,101,34,
102,51,,102,35,
103,51,,103,36,
104,51,,104,37,
105,51,,105,38,
106,52,52,106,38,38
107,53,,107,39,
108,53,,108,40,
109,53,,109,41,
110,53,,110,42,
111,54,,111,43,
112,55,55,112,44,44
113,55,,113,45,
114,56,,114,46,
115,56,,115,47,
116,57,,116,48,
117,58,,117,49,
118,58,,118,50,
119,59,,119,51,
120,60,60,120,51,51
121,61,,121,52,
122,62,,122,53,
123,63,,123,53,
124,64,,124,53,
125,64,,125,54,
126,64,,126,55,
127,65,,127,56,
128,66,66,128,56,56
129,66,,129,57,
130,66,,130,58,
131,67,,131,59,
132,68,,132,60,
133,68,,133,61,
134,69,,134,62,
135,69,,135,63,
136,69,,136,64,
137,70,,137,64,
138,71,,138,65,
139,72,72,139,66,66
140,72,,140,67,
141,73,73,141,67,67
142,73,,142,68,
143,73,,143,69,
144,73,,144,70,
145,74,74,145,70,70
146,75,,146,71,
147,75,75,147,71,71
148,75,,148,72,
149,76,,149,72,
150,76,,150,73,
151,77,77,151,74,74
152,77,,152,75,
153,78,,153,76,
154,79,,154,77,
155,79,79,155,78,78
156,79,,156,79,
157,79,,157,80,
158,79,,158,81,
159,80,80,159,81,81
160,80,,160,82,
161,80,,161,83,
162,81,,162,83,
163,81,,163,84,
164,82,,164,85,
165,82,,165,86,
166,83,83,166,86,86
167,83,,167,87,
168,84,84,168,87,87
169,85,,169,88,
170,85,,170,89,
171,85,,171,90,
172,86,86,172,90,90
173,86,,173,91,
174,86,,174,92,
175,86,,175,93,
176,87,87,176,93,93
177,88,88,177,93,93
178,88,,178,94,
179,89,89,179,94,94
180,89,,180,95,
181,90,90,181,95,95
182,90,,182,96,
183,90,,183,97,
184,91,91,184,97,97
185,92,92,185,97,97
186,92,,186,98,
187,92,,187,99,
188,92,,188,100,
189,93,93,189,100,100
190,94,94,190,100,100
191,94,,191,101,
192,95,95,192,101,101
193,96,96,193,101,101
194,96,,194,102,
195,96,,195,103,
196,97,97,196,103,103
197,97,,197,104,
198,98,98,198,104,104
199,98,,199,105,
200,99,99,200,105,105
201,99,,201,106,
202,100,100,202,106,106
203,101,101,203,106,106
204,101,,204,107,
205,101,,205,108,
206,102,102,206,108,108
207,102,,207,109,
208,102,,208,110,
