RAxval,RA,RAProbes,TCxval,TC,TCProbes
1,0,,1,0,
2,0,,2,1,
3,0,,3,1,
4,0,,4,1,
40,0,,40,1,
45,0,,45,1,
52,0,,52,2,
95,0,,95,2,
99,0,,99,2,
100,0,,100,2,
101,0,,101,2,
102,0,,102,2,
103,0,,103,2,
104,0,,104,2,
105,0,,105,2,
106,0,,106,2,
107,0,,107,2,
108,0,,108,2,
109,0,,109,2,
110,0,,110,2,
111,0,,111,2,
112,0,,112,2,
113,0,,113,2,
114,0,,114,2,
115,0,,115,2,
116,0,,116,2,
117,0,,117,2,
118,0,,118,2,
119,0,,119,2,
120,0,,120,2,
121,0,,121,2,
122,0,,122,2,
123,0,,123,2,
124,0,,124,2,
125,0,,125,2,
126,0,,126,2,
127,1,,127,2,
128,2,,128,2,
129,3,,129,2,
130,4,,130,2,
131,5,,131,2,
132,6,,132,2,
133,7,,133,2,
134,8,,134,2,
135,9,,135,2,
136,10,,136,2,
137, ,,137,,
138, ,,138,,
139,11,11,139,2,2
140,12,12,140,2,2
141,13,,141,3,
142,13,,142,3,
143,13,,143,4,
144,13,,144,5,
145,14,,145,5,
146,15,15,146,5,5
147,16,16,147,5,5
148,17,17,148,5,5
149,18,18,149,5,5
150,18,,150,5,
151,19,,151,5,
152,20,,152,5,
153,21,,153,5,
154,22,,154,5,
155,23,,155,5,
156,24,24,156,5,5
157,25,,157,5,
158,26,,158,5,
159,27,,159,5,
160,28,28,160,5,5
161,29,,161,5,
162,30,,162,5,
163,31,,163,5,
164,32,,164,5,
165,33,,165,5,
166,34,,166,5,
167,35,,167,5,
168,36,,168,5,
169,37,37,169,5,5
170,37,37,170,5,5
171,37,,171,6,
172,37,,172,7,
173,37,,173,8,
174,37,,174,9,
175,38,38,175,9,9
176,39,39,176,9,9
177,40,40,177,9,9
178,41,41,178,9,9
179,41,,179,10,
180,41,,180,11,
181,42,42,181,11,11
182,43,43,182,11,11
183,44,44,183,11,11
184,44,,184,12,
185,44,,185,13,
186,44,,186,14,
187,44,,187,15,
188,45,45,188,15,15
189,45,,189,16,
190,45,,190,17,
191,45,,191,18,
192,45,,192,19,
193,46,46,193,19,19
194,46,,194,20,
195,46,,195,21,
196,46,,196,22,
197,47,47,197,22,22
198,48,48,198,22,22
199,48,,199,23,
200,48,48,200,24,24
201,48,48,201,25,25
202,48,,202,26,
203,49,49,203,26,26
204,50,50,204,26,26
