RAxval,RA,RAProbes,TCxval,TC,TCProbes
1,0,,1,0,
2,0,,2,0,
3,0,,3,0,
4,0,,4,0,
32,0,,32,0,
40,0,,40,0,
45,0,,45,0,
52,0,,52,0,
59,0,,59,0,
60,0,,60,0,
61,0,,61,0,
62,0,,62,0,
63,0,0,63,1,1
64,0,,64,1,
65,0,,65,1,
66,0,,66,1,
67,0,,67,1,
68,0,,68,1,
69,0,0,69,1,1
70,0,,70,1,
71,0,,71,1,
72,0,0,72,2,2
73,1,,73,2,
74,2,,74,2,
75,3,3,75,3,3
76,4,,76,3,
77,5,,77,3,
78,6,,78,3,
79,6,6,79,4,4
80,7,,80,4,
81,7,7,81,5,5
82,8,,82,5,
83,9,,83,5,
84,9,,84,5,
85,10,10,85,5,5
86,10,,86,5,
87,11,11,87,5,5
88,11,,88,6,
89,11,,89,7,
90,12,,90,8,
91,12,,91,9,
92,12,,92,10,
93,12,,93,11,
94,13,13,94,12,12
95,14,,95,13,
96,14,,96,14,
97,14,,97,15,
98,14,,98,16,
99,14,,99,17,
100,15,,100,18,
101,15,,101,19,
102,15,,102,20,
103,15,,103,21,
104,15,,104,22,
105,15,,105,23,
106,15,,106,24,
107,15,,107,25,
108,15,,108,26,
109,16,,109,27,
110,17,,110,28,
111,17,,111,29,
112,17,,112,30,
113,17,,113,31,
114,17,,114,32,
115,18,18,115,32,32
116,19,,116,33,
117,20,,117,34,
118,20,,118,35,
119,21,,119,36,
120,21,,120,37,
121,22,22,121,37,37
122,22,,122,38,
123,23,,123,39,
124,24,,124,39,
125,25,,125,39,
126,25,,126,40,
127,25,,127,41,
128,26,26,128,41,41
129,26,,129,42,
130,26,,130,43,
131,26,,131,44,
132,26,26,132,45,45
133,26,,133,46,
134,26,,134,47,
135,26,,135,48,
136,27,27,136,49,49
137,27,,137,50,
138,28,,138,51,
139,28,28,139,52,52
140,28,,140,53,
141,28,,141,54,
142,28,,142,55,
143,28,28,143,56,56
144,28,,144,57,
145,29,,145,58,
146,29,29,146,59,59
147,29,,147,60,
148,29,,148,61,
149,30,30,149,61,61
150,30,,150,62,
151,30,,151,63,
152,30,,152,64,
153,31,31,153,64,64
154,31,,154,65,
155,31,,155,66,
156,31,31,156,67,67
157,31,,157,68,
158,31,,158,69,
159,31,,159,70,
160,31,,160,71,
161,32,32,161,71,71
162,32,,162,72,
163,32,,163,73,
164,32,,164,74,
165,32,,165,75,
166,32,,166,76,
167,33,33,167,76,76
168,33,,168,77,
169,34,34,169,77,77
170,34,,170,78,
171,34,,171,79,
172,35,35,172,80,80
173,35,,173,81,
174,36,36,174,81,81
175,36,,175,82,
176,36,,176,83,
177,36,,177,84,
178,37,37,178,84,84
179,38,38,179,84,84
180,39,39,180,84,84
181,39,,181,85,
182,39,,182,86,
183,39,,183,87,
184,40,,184,88,
185,41,,185,89,
186,41,,186,90,
187,42,42,187,90,90
188,42,,188,91,
189,42,,189,92,
190,42,,190,93,
