ms,st_sones,st_phons,lt_sones,lt_phons
0,0.52,32.2,0.01,7.7
1,0.88,38.5,0.02,9.7
2,1.37,44.1,0.04,12
3,1.78,47.7,0.05,14
4,2.16,50.4,0.08,15.9
5,2.54,52.8,0.1,17.8
6,2.9,54.7,0.13,19.5
7,3.22,56.3,0.16,21.2
8,3.48,57.5,0.19,22.7
9,3.69,58.4,0.23,24.1
10,3.91,59.2,0.26,25.4
11,4.11,60,0.3,26.8
12,4.3,60.7,0.34,28
13,4.5,61.4,0.38,29.1
14,4.71,62,0.43,30.1
15,4.91,62.7,0.47,31.2
16,5.08,63.2,0.52,32.3
17,5.24,63.7,0.57,33.2
18,5.38,64.1,0.61,34.1
19,5.54,64.5,0.66,35
20,5.76,65.1,0.71,35.9
21,5.97,65.7,0.77,36.8
22,6.16,66.1,0.82,37.6
23,6.34,66.6,0.88,38.4
24,6.5,67,0.93,39.1
25,6.63,67.3,0.99,39.9
26,6.76,67.6,1.05,40.6
27,6.93,68,1.11,41.3
28,7.08,68.3,1.17,42
29,7.22,68.6,1.23,42.7
30,7.35,68.9,1.29,43.3
31,7.46,69.1,1.35,43.9
32,7.58,69.3,1.41,44.5
33,7.72,69.6,1.47,45.1
34,7.82,69.8,1.54,45.7
35,7.87,69.9,1.6,46.3
36,7.94,70.1,1.66,46.8
37,7.98,70.1,1.73,47.3
38,8.03,70.2,1.79,47.8
39,8.06,70.3,1.85,48.3
40,8.12,70.4,1.92,48.8
41,8.17,70.5,1.98,49.2
42,8.19,70.5,2.04,49.6
43,8.25,70.6,2.1,50.1
44,8.27,70.7,2.16,50.5
45,8.28,70.7,2.23,50.9
46,8.31,70.8,2.29,51.3
47,8.34,70.8,2.35,51.7
48,8.34,70.8,2.41,52
49,8.32,70.8,2.47,52.4
50,8.31,70.8,2.52,52.7
51,8.29,70.7,2.58,53.1
52,8.27,70.7,2.64,53.4
53,8.23,70.6,2.69,53.7
54,8.19,70.5,2.75,54
55,8.15,70.5,2.8,54.3
56,8.11,70.4,2.86,54.5
57,8.08,70.3,2.91,54.8
58,8.05,70.3,2.96,55
59,8.03,70.2,3.01,55.3
60,8.02,70.2,3.06,55.6
61,8.01,70.2,3.11,55.8
62,7.99,70.1,3.16,56
63,7.98,70.1,3.21,56.3
64,7.97,70.1,3.25,56.5
65,7.96,70.1,3.3,56.7
66,7.95,70.1,3.35,56.9
67,7.94,70.1,3.39,57.1
68,7.94,70,3.44,57.3
69,7.93,70,3.48,57.5
70,7.93,70,3.53,57.7
71,7.98,70.1,3.57,57.9
72,8.08,70.3,3.62,58.1
73,8.18,70.5,3.66,58.2
74,8.24,70.6,3.71,58.4
75,8.27,70.7,3.76,58.6
76,8.31,70.7,3.8,58.8
77,8.33,70.8,3.85,59
78,8.36,70.8,3.89,59.2
79,8.44,71,3.94,59.3
80,8.56,71.2,3.98,59.5
81,8.66,71.4,4.03,59.7
82,8.73,71.5,4.08,59.9
83,8.77,71.6,4.12,60
84,8.79,71.6,4.17,60.2
85,8.81,71.6,4.22,60.4
86,8.87,71.8,4.26,60.5
87,9.05,72.1,4.31,60.7
88,9.27,72.4,4.36,60.9
89,9.46,72.7,4.41,61.1
90,9.59,72.9,4.46,61.2
91,9.67,73.1,4.52,61.4
92,9.71,73.2,4.57,61.6
93,9.77,73.2,4.62,61.8
94,9.87,73.4,4.67,61.9
95,10.11,73.8,4.73,62.1
96,10.38,74.2,4.78,62.3
97,10.58,74.5,4.84,62.5
98,10.71,74.6,4.9,62.7
99,10.81,74.8,4.96,62.8
100,10.87,74.9,5.02,63
101,10.94,75,5.08,63.2
102,11.08,75.2,5.14,63.4
103,11.37,75.6,5.2,63.6
104,11.64,75.9,5.26,63.7
105,11.83,76.1,5.33,63.9
106,11.94,76.3,5.4,64.1
107,12,76.4,5.46,64.3
108,12.02,76.4,5.53,64.5
109,12.06,76.4,5.59,64.7
110,12.19,76.6,5.66,64.8
111,12.47,76.9,5.73,65
112,12.71,77.2,5.8,65.2
113,12.85,77.4,5.87,65.4
114,12.91,77.5,5.94,65.6
115,12.93,77.5,6.01,65.8
116,12.93,77.5,6.08,65.9
117,12.96,77.5,6.15,66.1
118,13.08,77.7,6.22,66.3
119,13.34,78,6.29,66.5
120,13.53,78.2,6.36,66.6
121,13.64,78.3,6.43,66.8
122,13.68,78.3,6.5,67
123,13.67,78.3,6.58,67.2
124,13.66,78.3,6.65,67.3
125,13.65,78.3,6.72,67.5
126,13.76,78.4,6.79,67.6
127,13.95,78.6,6.86,67.8
128,14.08,78.8,6.93,68
129,14.14,78.8,7,68.1
130,14.14,78.8,7.07,68.3
131,14.12,78.8,7.15,68.4
132,14.09,78.8,7.21,68.6
133,14.07,78.8,7.28,68.7
134,14.16,78.8,7.35,68.9
135,14.35,79.1,7.42,69
136,14.49,79.2,7.49,69.2
137,14.54,79.3,7.56,69.3
138,14.53,79.2,7.63,69.4
139,14.5,79.2,7.7,69.6
140,14.46,79.2,7.77,69.7
141,14.43,79.1,7.84,69.9
142,14.49,79.2,7.9,70
143,14.64,79.4,7.97,70.1
144,14.73,79.4,8.04,70.2
145,14.74,79.5,8.1,70.4
146,14.72,79.4,8.17,70.5
147,14.68,79.4,8.24,70.6
148,14.63,79.3,8.3,70.7
149,14.59,79.3,8.36,70.9
150,14.62,79.3,8.42,71
151,14.75,79.5,8.49,71.1
152,14.81,79.5,8.55,71.2
153,14.81,79.5,8.61,71.3
154,14.78,79.5,8.68,71.4
155,14.73,79.4,8.74,71.5
156,14.68,79.4,8.8,71.6
157,14.65,79.4,8.85,71.7
158,14.68,79.4,8.91,71.8
159,14.8,79.5,8.97,71.9
160,14.86,79.6,9.03,72
161,14.86,79.6,9.09,72.1
162,14.83,79.6,9.15,72.2
163,14.79,79.5,9.2,72.3
164,14.74,79.5,9.26,72.4
165,14.7,79.4,9.31,72.5
166,14.7,79.4,9.37,72.6
167,14.8,79.5,9.42,72.7
168,14.85,79.6,9.47,72.8
169,14.84,79.6,9.53,72.9
170,14.81,79.5,9.58,72.9
171,14.76,79.5,9.63,73
172,14.71,79.4,9.68,73.1
173,14.66,79.4,9.73,73.2
174,14.66,79.4,9.78,73.3
175,14.75,79.5,9.83,73.3
176,14.81,79.5,9.88,73.4
177,14.81,79.5,9.93,73.5
178,14.79,79.5,9.98,73.6
179,14.75,79.5,10.03,73.6
180,14.7,79.4,10.07,73.7
181,14.66,79.4,10.12,73.8
182,14.66,79.4,10.17,73.8
183,14.76,79.5,10.21,73.9
184,14.81,79.5,10.26,74
185,14.81,79.5,10.3,74.1
186,14.78,79.5,10.35,74.1
187,14.74,79.5,10.39,74.2
188,14.68,79.4,10.44,74.2
189,14.63,79.3,10.48,74.3
190,14.62,79.3,10.52,74.4
191,14.71,79.4,10.56,74.4
192,14.76,79.5,10.6,74.5
193,14.76,79.5,10.64,74.6
194,14.73,79.4,10.68,74.6
195,14.69,79.4,10.72,74.7
196,14.63,79.3,10.76,74.7
197,14.57,79.3,10.8,74.8
198,14.55,79.3,10.84,74.8
199,14.62,79.3,10.88,74.9
200,14.68,79.4,10.92,74.9
201,14.68,79.4,10.95,75
202,14.65,79.4,10.99,75
203,14.61,79.3,11.03,75.1
204,14.55,79.3,11.06,75.1
205,14.49,79.2,11.1,75.2
206,14.46,79.2,11.13,75.2
207,14.54,79.2,11.16,75.3
208,14.6,79.3,11.2,75.3
209,14.61,79.3,11.23,75.4
210,14.58,79.3,11.27,75.4
211,14.53,79.2,11.3,75.5
212,14.47,79.2,11.33,75.5
213,14.41,79.1,11.36,75.5
214,14.36,79.1,11.39,75.6
